Occ	Fréq	CoFréq	Indice	DistMoy
--Demain	11	2	2.6334	4.0
enivrantes	11	2	2.6334	1.0
hardies	11	2	2.6334	3.0
mènerai	11	2	2.6334	0.5
soignait	11	2	2.6334	4.0
soufflée	11	2	2.6334	4.0
théâtre	422	9	2.6324	4.2222223
bien	10282	93	2.6215	4.5053763
viendrez	40	3	2.6196	3.6666667
allée	271	7	2.6119	3.2857144
souvent	968	15	2.5938	4.733333
commandeur	41	3	2.5888	5.6666665
jetée	86	4	2.5736	4.75
froissés	12	2	2.5561	4.5
respecta	12	2	2.5561	2.5
ruines	87	4	2.5555	4.5
midi	208	6	2.5439	4.8333335
avez	2807	32	2.539	4.375
questionner	43	3	2.5294	2.6666667
Rocher	43	3	2.5294	3.0
veille	360	8	2.5061	1.75
rédacteurs	44	3	2.5009	3.6666667
reviendrai	44	3	2.5009	2.3333333
salon	1193	17	2.4904	4.8235292
Noël	13	2	2.4855	2.0
revenais	13	2	2.4855	1.0
habitués	149	5	2.4765	4.8
1822	45	3	2.4731	5.3333335
Chevalier	94	4	2.4346	2.5
jusqu’	816	13	2.4224	1.7692307
attiraient	14	2	2.4205	1.0
obtenues	14	2	2.4205	3.0
secrétaire-général	14	2	2.4205	2.5
verriez	14	2	2.4205	1.5
Véry	14	2	2.4205	0.5
Alexandre	47	3	2.4194	1.0
Caroline	95	4	2.4182	4.25
cabriolet	154	5	2.4155	4.8
Marion	157	5	2.3801	1.4
promit	98	4	2.3701	3.5
bu	49	3	2.3682	3.6666667
café	301	7	2.3629	3.5714285
collant	15	2	2.3602	1.0
jeudi	15	2	2.3602	0.0
langes	15	2	2.3602	3.5
Lisez	15	2	2.3602	0.5
monarque	15	2	2.3602	1.0
Plutarque	15	2	2.3602	1.0
promeneurs	15	2	2.3602	3.5
Public	15	2	2.3602	4.5
sortie	159	5	2.357	2.0
revenant	160	5	2.3455	1.4
Crottat	50	3	2.3435	1.0
travaillant	50	3	2.3435	0.6666667
Champs-Élysées	51	3	2.3193	0.6666667
raccommodement	16	2	2.3041	0.5
très-bonne	16	2	2.3041	1.0
dirai	165	5	2.2896	2.6
-vous	3877	40	2.2787	3.575
verras	53	3	2.2724	0.6666667
allons	314	7	2.2649	2.857143
Léon	168	5	2.257	5.4
accable	17	2	2.2517	2.0
Mail	17	2	2.2517	4.5
où	9585	85	2.2411	4.0117645
repas	108	4	2.2214	3.75
Dès	243	6	2.2181	1.3333334
Vandenesse	243	6	2.2181	5.0
allais	109	4	2.2074	6.25
dangers	109	4	2.2074	5.0
ballet	18	2	2.2024	0.5
Galeries-de-Bois	18	2	2.2024	0.5
préparatoire	18	2	2.2024	2.5
dès	583	10	2.1988	0.9
-le	408	8	2.1863	3.625
dîné	58	3	2.1634	2.3333333
Châteaubriand	19	2	2.156	2.5
crépuscule	19	2	2.156	4.5
installé	19	2	2.156	0.5
Mansle	19	2	2.156	2.5
Panorama-Dramatique	19	2	2.156	2.0
respectables	19	2	2.156	3.5
apporter	113	4	2.1529	1.25
venu	597	10	2.1303	2.1
Étude	115	4	2.1265	4.0
--Vous	693	11	2.1231	4.6363635
travailler	182	5	2.1139	2.8
Bourdonnais	20	2	2.1122	3.5
dormit	20	2	2.1122	2.5
fâche	20	2	2.1122	3.5
frottait	20	2	2.1122	3.5
ramenait	20	2	2.1122	2.5
Théâtre-Français	20	2	2.1122	2.0
