Occ	Fréq	CoFréq	Indice	DistMoy
boire	143	5	2.6561	3.8
faudra	145	5	2.6299	1.4
dormir	88	4	2.6239	4.25
hôtel	723	12	2.6069	3.3333333
barreau	12	2	2.6034	2.5
carême	12	2	2.6034	1.0
Forzheim	12	2	2.6034	2.0
guette	12	2	2.6034	2.0
horticulteur	12	2	2.6034	3.0
inconcevable	12	2	2.6034	0.5
mémorable	12	2	2.6034	4.5
pénitente	12	2	2.6034	2.5
Rocher	43	3	2.5973	5.0
parlé	289	7	2.5901	2.142857
Mongenod	149	5	2.5789	3.8
samedi	44	3	2.5687	1.6666666
endormant	13	2	2.5327	3.5
précède	13	2	2.5327	3.0
préférant	13	2	2.5327	4.0
recevra	13	2	2.5327	3.0
Billardière	221	6	2.5322	4.3333335
Chabert	94	4	2.5202	5.0
lit	742	12	2.517	4.5833335
faisait	1473	19	2.5066	5.0526314
mois	1584	20	2.5046	5.6
cloche	47	3	2.4868	3.3333333
patrons	14	2	2.4675	4.0
Sous-Chef	14	2	2.4675	1.0
journée	387	8	2.4617	4.75
venant	159	5	2.4582	2.8
baron	1382	18	2.4483	4.888889
Desroches	234	6	2.4112	4.0
Opéra	234	6	2.4112	3.1666667
Élie	50	3	2.4105	2.6666667
Gabriel	15	2	2.4072	3.0
graver	15	2	2.4072	2.5
Plutarque	15	2	2.4072	4.5
stationnait	15	2	2.4072	2.5
montré	102	4	2.3932	4.25
partant	52	3	2.3624	1.3333334
pensive	52	3	2.3624	3.3333333
Femme	16	2	2.351	3.5
partez	16	2	2.351	0.5
précises	16	2	2.351	3.0
promènent	16	2	2.351	0.5
rédigé	16	2	2.351	0.5
suis	3433	35	2.3427	4.257143
brouillard	53	3	2.3391	2.0
gant	53	3	2.3391	4.0
réveil	53	3	2.3391	2.6666667
traces	107	4	2.3195	3.75
repas	108	4	2.3053	2.75
Bible	17	2	2.2985	4.0
—Mademoiselle	17	2	2.2985	1.5
Savinien	247	6	2.2984	5.1666665
Magus	109	4	2.2912	4.75
m’	3336	34	2.2911	4.852941
Rabourdin	803	12	2.2507	4.3333335
courses	57	3	2.2506	4.3333335
Cercle	18	2	2.2491	3.0
mers	18	2	2.2491	4.5
réprobation	18	2	2.2491	3.5
Rastignac	608	10	2.2379	2.1
avertir	58	3	2.2296	1.6666666
examinait	58	3	2.2296	2.3333333
mandat	58	3	2.2296	2.6666667
tilbury	58	3	2.2296	1.3333334
viendra	115	4	2.2096	3.5
accablé	59	3	2.2089	2.6666667
dirigea	59	3	2.2089	2.3333333
Agathe	258	6	2.2086	4.5
crépuscule	19	2	2.2026	0.5
déjeuné	19	2	2.2026	3.5
Mansle	19	2	2.2026	4.5
respectables	19	2	2.2026	3.0
sécher	19	2	2.2026	2.5
suffisaient	19	2	2.2026	4.5
endormi	60	3	2.1887	4.3333335
affectueusement	20	2	2.1587	4.5
déshabillé	20	2	2.1587	0.5
commotion	21	2	2.117	1.5
Judith	21	2	2.117	4.0
reviendrait	21	2	2.117	3.0
tacite	21	2	2.117	4.0
bureau	355	7	2.1115	3.142857
apporté	64	3	2.1112	2.0
irai	193	5	2.1078	3.4
annoncer	124	4	2.0962	6.0
dort	65	3	2.0927	1.6666666
