Référence	ContexteGauche	Pivot	ContexteDroit
TXM_etude_des_moeurs	, dans un profond silence. A deux	heures du matin	, Popinot ouvrit doucement la porte du salon et fit signe à
TXM_etude_des_moeurs	jour les affaires de César. A huit	heures du matin	, ces deux héroïques amis, l’un vieux soldat, l’
TXM_etude_des_moeurs	je viendrai passer ici les matinées de huit	heures du matin	à six heures du soir. Pour vous refaire une fortune,
TXM_etude_des_moeurs	par un clair de lune, à deux	heures du matin	: le jour, c'est un abrégé de Paris ; pendant
TXM_etude_des_moeurs	entendu tes murmures, entre minuit et deux	heures du matin	, ne connaît encore rien de ta vraie poésie, ni de
TXM_etude_des_moeurs	il pouvait venir le lendemain, à huit	heures du matin	, rue Sainte-Foi, dans une maison dont il lui donna le
TXM_etude_des_moeurs	reviennent du bal, entre minuit et deux	heures du matin	, combien de scènes bizarres ne se passe-t -il pas, en
TXM_etude_des_moeurs	me dit pas. Il était environ trois	heures du matin	lorsque madame Jules fut réveillée par un pressentiment qui l'avait frappée
TXM_etude_des_moeurs	incartade. Viens -y demain, à neuf	heures du matin	. Je suis dans une chambre à laquelle on ne parvient que
TXM_etude_des_moeurs	. Monsieur de Montriveau resta jusqu'à deux	heures du matin	près de sa maîtresse, qui, dès ce moment, ne
TXM_etude_des_moeurs	ne sait peut-être pas qu'il est deux	heures du matin	, j'ai cru que madame était indisposée. --Oui, je
TXM_etude_des_moeurs	la porte du marquis de Montriveau depuis huit	heures du matin	jusqu'à trois heures après midi. Armand demeurait rue de Seine
TXM_etude_des_moeurs	Montriveau avaient détruit leur ouvrage. A neuf	heures du matin	, nulle trace n'existait ni de l'escalier ni des ponts
TXM_etude_des_moeurs	. Donc, si demain, de huit	heures du matin	à dix heures du soir, vous n'avez pas jeté de
TXM_etude_des_moeurs	une corde, deux flacons, à dix	heures du matin	, le lendemain. Soyez à vous promener vers ce moment -là
TXM_etude_des_moeurs	, facteur, le lendemain, vers huit	heures du matin	, au concierge de l'hôtel San-Réal. Pour se rapprocher du
TXM_etude_des_moeurs	Il sortit du Rocher de Cancale à deux	heures du matin	, dormit comme un enfant, se réveilla le lendemain frais et
TXM_etude_des_moeurs	de rien, il sera coffré dès quatre	heures du matin	, dit le juge en consultant son Almanach pour vérifier le lever
TXM_etude_des_moeurs	baiser à la jeune fille. À sept	heures du matin	, le baron, au comble du bonheur, car il avait
TXM_etude_des_moeurs	la baronne. Le lendemain, à neuf	heures du matin	, le baron, en attendant sa fille à laquelle il avait
TXM_etude_des_moeurs	, qu’il reviendrait à quatre ou cinq	heures du matin	, et il alla rue du Dauphin. On était alors à
TXM_etude_des_moeurs	laquelle le Conseiller-d’État fut en proie à cinq	heures du matin	, dans le lit élégant et coquet de Crevel, surpassa de
TXM_etude_des_moeurs	et sortit. Le lendemain, à dix	heures du matin	, le comte de Forzheim se fit annoncer chez le prince de
TXM_etude_des_moeurs	ça ! … Il est ivre dès six	heures du matin	, il fait un matelas tous les mois, il est toute
TXM_etude_des_moeurs	nous mariera, par exception, à neuf	heures du matin	. La messe est à dix heures, nous serons ici à
TXM_etude_des_moeurs	dit à du Tillet, sur les sept	heures du matin	: — Si tu étais gentil, tu me donnerais à dîner
TXM_etude_des_moeurs	sans l’avoir corrigé. » Vers deux	heures du matin	, le valet-de-chambre vint dire à une petite bergère des Alpes,
TXM_etude_des_moeurs	Rastignac resta, lui, jusqu’à deux	heures du matin	, et l’on dit qu’il est égoïste ! Beaudenord partit
